favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
806,Twitter for iPhone,"प्रधानमंत्रीजी अगर देश के लोगों से मिलने को तैयार नहीं,उनका पसीना छूने को तैयार नहीं,गले लगने को तैयार नहीं- तो फिर किस बात के प्रधानमंत्री?",RahulGandhi,False,Mon Sep 26 08:04:07 +0000 2016,849,780317008931921921
16279,Twitter for iPhone,The mammoth #FarmersMarchToMumbai is a stunning example of people’s power. The Congress party stands with the Farme… https://t.co/bAylftUvEf,,False,Mon Mar 12 07:40:14 +0000 2018,6146,973101342611918848
1097,Twitter for iPhone,"Day 12 of the Kisa Yatra begins with roadshow in Orai, Jalaun https://t.co/cOlHlNEgVj",,False,Mon Sep 19 06:32:58 +0000 2016,1031,777757354888617984
477,Twitter for iPhone,"We want to give space to every single person in this country, even if we dont agree with the person.That is the diff between RSS-BJP and us",,False,Wed Nov 25 09:25:11 +0000 2015,545,669446726508552192
7900,Twitter for iPhone,My tributes to #ShaheedBhagatSingh on his birth anniversary. His valour and sacrifice will continue to inspire generations,,False,Thu Sep 28 05:20:24 +0000 2017,2676,913272154594017280
926,Twitter for iPhone,Today the Kisan Yatra that started a month ago in Deoria will reach Delhi. Sharing the schedule for the day https://t.co/ccjDANlIcW,,False,Thu Oct 06 04:18:53 +0000 2016,656,783884208410234880
1638,Twitter for iPhone,"Thank you to the ppl of Azamgarh,Mau&amp;Ghazipur for making Day6 of Kisan Yatra successful.Some snapshots from the day: https://t.co/8r7lPwIjwU",,False,Sun Sep 11 18:02:23 +0000 2016,1046,775031751139786752
1889,Twitter for iPhone,the Indian Army in political posters and propaganda all across the country (2/2),RahulGandhi,False,Fri Oct 07 04:29:05 +0000 2016,3135,784249162116112384
2552,Twitter for iPhone,If a Kisan takes a khat he's called a 'chor' but ppl like Mallyaji who run away with crores are called 'defaulters'! https://t.co/iVSUlB6NQT,,False,Wed Sep 07 11:55:58 +0000 2016,2191,773489988805627905
407,Twitter Web Client,"People are being lynched &amp; killed, and the PM is silent. He doesn't believe it is necessary to say a word",,False,Tue Nov 03 12:43:40 +0000 2015,476,661524140063485952
1911,Twitter for iPhone,"Crowd outside historic AICC Bbay meet where Quit India resolution was formally adopted, on Aug 8, 1942(HT Archives) https://t.co/rnaUTFJ2ee",,False,Tue Aug 09 08:51:44 +0000 2016,1567,762934376334184448
6117,Twitter for iPhone,मैं गर्व से आपको कहना चाहता हूँ कि कांग्रेस पार्टी ने पंजाब और कर्नाटक में किसानों का कर्ज़ा माफ़ किया https://t.co/SazsE8KXN4,,False,Wed Jul 19 11:04:35 +0000 2017,2420,887629236499906561
15271,Twitter Web Client,"My condolences to the families of those killed in the severe storms and lightning strikes across India, yesterday.… https://t.co/pHuuUQynTn",,False,Mon May 14 03:25:27 +0000 2018,4537,995867663535493120
5422,Twitter for iPhone,Looking forward to attend the inaugural function of Indira Canteen and public meeting in Bengaluru today,,False,Wed Aug 16 02:57:34 +0000 2017,1791,897653534786805760
28126,Twitter for iPhone,"Demonetisation is a tragedy. We stand with millions of honest Indians, whose lives &amp; livelihoods were destroyed by PM’s thoughtless act.",,False,Wed Nov 08 01:35:58 +0000 2017,12653,928073578733387776
3677,Twitter for iPhone,They gave up their lives for our freedom and in death became immortal. Remembering the sacrifice of our brave marty… https://t.co/0ZaPyoR5oh,,False,Thu Mar 23 05:03:24 +0000 2017,1399,844776573303644162
1316,Twitter for iPhone,Congratulations to those who cleared the Civil Services Exam. Fantastic achievement &amp;some extraordinary stories of success against all odds!,,False,Wed May 11 09:46:20 +0000 2016,1065,730333208911314945
11849,Twitter for iPhone,"India does not need a Gabbar Singh Tax. We want a true GST. Congress, along with the people of India, fought for an… https://t.co/0JagIJKSpI",RahulGandhi,False,Sat Nov 11 11:34:48 +0000 2017,5288,929311443605864448
547,Twitter for iPhone,Extremely saddened by the passing away of veteran Congress leader Dr Balram Jakharji.In his passing Congress Party has lost a stalwart (1/2),,False,Wed Feb 03 05:28:44 +0000 2016,604,694754369808433153
782,Twitter for iPhone,Kisan Maang Patras being signed in Rudrapur https://t.co/8A12r7k1ZI,,False,Tue Sep 06 06:21:09 +0000 2016,812,773043339239227392
520,Twitter for iPhone,"मोदीजी विकास की बात करते है लेकिन जब बिहार के लोग महाराष्ट्र जाते हैं, तो उनको वहाँ BJP-शिव सेना के लोग क्यों पीटते हैं ? मारते क्यों हैं?",,False,Thu Oct 29 09:38:33 +0000 2015,576,659665614965903360
786,Twitter for iPhone,"Day 24 of the Kisan Yatra today in Muzaffarnagar, Shamli &amp; Saharanpur https://t.co/cRV8DeJ6sN",,False,Tue Oct 04 03:23:46 +0000 2016,630,783145560454729728
1153,Twitter for iPhone,Strongly condemn lathicharge on #NITSrinagar students.When will BJP &amp;allies learn that brute force against students can never be a solution?,,False,Thu Apr 07 06:47:14 +0000 2016,1171,717966947292295168
2469,Twitter for iPhone,छत्रपति शिवाजी महाराज की जयंती पर उन्हें नमन। उनके जीवन से हमें अन्याय के खिलाफ हमेशा वीरता और साहस से लड़ने की प्रेरणा मिलती है,,False,Sun Feb 19 05:23:00 +0000 2017,1160,833185092021268480
20449,Twitter for iPhone,"At the Vibrant Gujarat Summit 2019, cynical sponsors no longer want to associate themselves with an event presided… https://t.co/jQNJajk8Ek",,False,Sun Dec 30 16:05:43 +0000 2018,6109,1079408198455619586
4920,Twitter for iPhone,"At Technology Centre Mongstad,world's largest facility for combating climate change using tech(CO2capture)Impressed… https://t.co/25hoLm7vP8",,False,Fri Sep 01 11:57:58 +0000 2017,1893,903587733859319808
400,Twitter for iPhone,The most important quality they all had is humility,RahulGandhi,False,Sat May 07 12:19:50 +0000 2016,559,728922285457944576
4525,Twitter for iPhone,"It is not about how soon they went, but with how much money the BJP went to steal the mandate of Goa &amp; Manipur https://t.co/yWMVpOQr6J",,False,Tue Mar 14 08:26:05 +0000 2017,2506,841566086084546560
591,Twitter for iPhone,In the media there is some sense that the National Herald &amp;the GST are linked. But there is absolutely no link between National Herald &amp;GST,,False,Sat Dec 12 18:31:23 +0000 2015,593,675744774347853824
23651,Twitter for iPhone,"New Book Review!

The BJP Karnataka Manifesto, inspired by Narendra Modi, is a poorly crafted fantasy built around… https://t.co/5zSkVhsEAU",,False,Fri May 04 10:45:15 +0000 2018,8357,992354462017703936
425,Twitter for iPhone,"उनके पास सारे जवाब हैं, उनको सब मालूम है- हिन्दुस्तान की जनता को कुछ नहीं मालूम, opposition को कुछ नहीं मालूम!",RahulGandhi,False,Sat Nov 14 09:50:57 +0000 2015,431,665466940580831232
1973,Twitter for iPhone,Saddened by the demise of Shri Haji Abdul Salam.A veteran Congressman &amp;committed social worker he served the ppl of Manipur with dedication,,False,Wed Mar 01 07:49:47 +0000 2017,1012,836845908784480256
24151,Twitter for iPhone,On #AirForceDay I salute the brave men and women of the Indian Airforce. Their valour and commitment is an inspirat… https://t.co/RNpqKOi3hP,,False,Mon Oct 08 04:38:28 +0000 2018,5801,1049157052017332225
2214,Twitter for iPhone,"Destroyed in the last 50 days: trust in the Prime Minister's word.
Weekly cash withdrawal limits must go https://t.co/CJrXdnq6MF",,False,Sat Dec 31 05:32:13 +0000 2016,1669,815068019923632128
917,Twitter for iPhone,"My tribute to the many Congressmen who lost their lives in the attack including Chhattisgarh PCC Pres Nand Kumar Patelji,VC Shuklaji &amp;others",RahulGandhi,False,Wed May 25 13:46:20 +0000 2016,925,735467035157618688
2308,Twitter Web Client,"On 12th May Rahul Gandhi will begin a 15km padyatra in Telangana's Adilabad Dist- covering 5 villages,starting from Wadial Village",,False,Thu May 07 06:39:04 +0000 2015,1806,596202572496506880
1272,Twitter for iPhone,We will work harder till we win the confidence &amp; trust of people,RahulGandhi,False,Thu May 19 06:24:35 +0000 2016,1169,733181541204013058
554,Twitter for iPhone,Strongly condemn the terror attack in Gurdaspur.I hope the situation is brought under control at the earliest(1/2),,False,Mon Jul 27 05:04:05 +0000 2015,610,625532084732436480
